project_id,project_name,project_type,business_unit,region,priority,start_date,planned_end_date,actual_end_date,planned_duration_days,actual_duration_days,delay_days,delayed_flag,major_delay_flag,budget_gbp,sponsor,project_manager,milestone_count,critical_milestone_count,delayed_milestone_count,critical_milestone_missed_count,avg_milestone_delay_days,max_milestone_delay_days,issue_count,unresolved_issue_count,high_severity_issue_count,avg_issue_days_open,approval_delay_issue_count,vendor_delay_issue_count,resource_shortage_issue_count,scope_change_issue_count,dependency_blocker_issue_count,procurement_delay_issue_count,technical_issue_count,planned_team_size,actual_team_size,resource_gap,resource_gap_pct,overtime_hours,attrition_flag,change_request_count,approved_scope_change_count,late_scope_change_flag,scope_change_impact,schedule_variance_pct,resource_gap_flag,high_overtime_flag,preventable_delay_flag,risk_score,risk_band
P014,IT Delivery Europe Program 014,IT Delivery,Sales,Europe,High,2024-08-30 00:00:00,2025-01-09 00:00:00,2025-02-04 00:00:00,132,158,26,1,0,1012000,Sponsor_08,PM_16,6,4,4,2,4.333333333333333,9,8,1,3,20.75,1,0,3,2,0,1,1,7,4,3,0.429,119,1,3,3,0,Low,0.19696969696969696,1,1,1,6,High
P015,Operations Improvement Europe Program 015,Operations Improvement,Technology,Europe,Medium,2025-05-13 00:00:00,2025-09-19 00:00:00,2025-10-23 00:00:00,129,163,34,1,1,568000,Sponsor_04,PM_10,6,4,6,4,6.666666666666667,12,10,2,3,22.0,2,2,1,0,2,1,2,4,2,2,0.5,32,0,0,0,0,Medium,0.26356589147286824,1,0,1,7,High
P016,Transformation UK Program 016,Transformation,Finance,UK,Low,2024-03-10 00:00:00,2024-08-07 00:00:00,2024-09-12 00:00:00,150,186,36,1,1,1006000,Sponsor_15,PM_04,6,4,6,4,6.833333333333333,12,4,0,1,11.75,1,1,0,1,1,0,0,13,13,0,0.0,84,0,1,1,0,Medium,0.24,0,1,1,3,Medium
P017,Operations Improvement UK Program 017,Operations Improvement,Operations,UK,Medium,2024-09-28 00:00:00,2025-04-07 00:00:00,2025-05-02 00:00:00,191,216,25,1,0,448000,Sponsor_08,PM_10,6,4,4,2,4.166666666666667,9,11,2,4,31.545454545454547,1,1,2,0,3,2,2,9,10,0,0.0,12,1,5,3,1,High,0.13089005235602094,0,0,1,6,High
P018,Operations Improvement UK Program 018,Operations Improvement,Sales,UK,High,2025-03-24 00:00:00,2025-11-08 00:00:00,2025-11-17 00:00:00,229,238,9,1,0,1620000,Sponsor_10,PM_10,6,4,5,4,1.6666666666666667,4,7,0,2,18.0,2,1,0,0,2,2,0,14,16,0,0.0,13,0,1,0,0,Medium,0.039301310043668124,0,0,1,5,Medium
P019,Operations Improvement UK Program 019,Operations Improvement,Customer Experience,UK,Medium,2024-10-15 00:00:00,2025-03-07 00:00:00,2025-04-09 00:00:00,143,176,33,1,1,1649000,Sponsor_04,PM_11,6,4,5,3,5.5,11,9,2,2,33.22222222222222,2,2,1,2,0,0,2,14,11,3,0.214,43,0,0,0,0,Medium,0.23076923076923078,1,0,1,7,High
P020,Transformation UK Program 020,Transformation,Customer Experience,UK,High,2025-03-13 00:00:00,2025-11-01 00:00:00,2025-11-19 00:00:00,233,251,18,1,0,199000,Sponsor_02,PM_04,6,4,5,4,3.1666666666666665,6,6,0,1,7.166666666666667,1,2,1,0,1,1,0,15,16,0,0.0,70,1,2,2,0,High,0.07725321888412018,0,0,1,3,Medium
P021,Transformation Australia Program 021,Transformation,Operations,Australia,Low,2024-02-10 00:00:00,2024-08-09 00:00:00,2024-09-15 00:00:00,181,218,37,1,1,610000,Sponsor_11,PM_08,6,4,6,4,6.666666666666667,11,5,1,1,24.0,1,1,0,0,0,2,1,5,6,0,0.0,95,1,1,1,0,High,0.20441988950276244,0,1,1,3,Medium
P022,Client Implementation Europe Program 022,Client Implementation,Customer Experience,Europe,High,2024-12-06 00:00:00,2025-06-19 00:00:00,2025-07-06 00:00:00,195,212,17,1,0,1551000,Sponsor_05,PM_08,6,4,6,4,3.1666666666666665,6,9,2,4,31.11111111111111,1,3,2,1,1,1,0,6,6,0,0.0,28,0,0,0,0,High,0.08717948717948718,0,0,1,5,Medium
P023,Operations Improvement UK Program 023,Operations Improvement,Customer Experience,UK,Low,2024-07-16 00:00:00,2025-01-24 00:00:00,2025-02-11 00:00:00,192,210,18,1,0,852000,Sponsor_14,PM_09,6,4,6,4,3.3333333333333335,7,5,0,0,11.2,1,0,1,1,1,0,1,5,5,0,0.0,86,0,3,2,0,Medium,0.09375,0,1,1,3,Medium
P024,Product Launch Australia Program 024,Product Launch,Operations,Australia,Medium,2024-02-09 00:00:00,2024-06-05 00:00:00,2024-06-14 00:00:00,117,126,9,1,0,1401000,Sponsor_06,PM_14,6,4,6,4,1.8333333333333333,4,4,0,2,16.0,0,0,1,1,1,0,1,15,12,3,0.2,118,0,2,2,0,High,0.07692307692307693,1,1,1,6,High
P025,Operations Improvement Australia Program 025,Operations Improvement,Technology,Australia,High,2025-07-05 00:00:00,2025-11-22 00:00:00,2025-12-16 00:00:00,140,164,24,1,0,925000,Sponsor_02,PM_14,6,4,5,3,4.0,9,10,4,4,36.4,0,2,4,4,0,0,0,14,11,3,0.214,204,0,3,2,0,Medium,0.17142857142857143,1,1,1,9,High
P026,Operations Improvement UK Program 026,Operations Improvement,Operations,UK,High,2025-01-23 00:00:00,2025-06-06 00:00:00,2025-06-25 00:00:00,134,153,19,1,0,1440000,Sponsor_05,PM_19,6,4,6,4,4.0,10,5,0,2,17.2,1,0,0,4,0,0,0,10,10,0,0.0,100,0,3,2,0,Low,0.1417910447761194,0,1,1,5,Medium
P027,Operations Improvement Europe Program 027,Operations Improvement,Finance,Europe,Medium,2024-06-22 00:00:00,2024-10-11 00:00:00,2024-10-31 00:00:00,111,131,20,1,0,761000,Sponsor_11,PM_17,6,4,5,3,3.3333333333333335,7,5,2,1,23.4,0,1,0,0,2,0,2,14,12,2,0.143,192,0,1,1,0,High,0.18018018018018017,0,1,1,3,Medium
P028,Product Launch Europe Program 028,Product Launch,Technology,Europe,Medium,2024-07-18 00:00:00,2025-01-22 00:00:00,2025-02-16 00:00:00,188,213,25,1,0,1192000,Sponsor_04,PM_13,6,4,6,4,4.5,9,12,1,4,22.416666666666668,1,1,2,3,0,4,1,6,3,3,0.5,219,0,2,1,0,Medium,0.13297872340425532,1,1,1,6,High
P029,Client Implementation Europe Program 029,Client Implementation,Technology,Europe,Medium,2024-05-04 00:00:00,2024-11-26 00:00:00,2024-11-26 00:00:00,206,206,0,0,0,453000,Sponsor_11,PM_15,6,4,0,0,0.0,0,3,0,2,15.0,0,1,0,1,0,1,0,12,13,0,0.0,104,0,4,3,0,High,0.0,0,1,1,3,Medium
P030,Transformation Europe Program 030,Transformation,Customer Experience,Europe,Medium,2024-10-10 00:00:00,2025-05-21 00:00:00,2025-07-06 00:00:00,223,269,46,1,1,1172000,Sponsor_05,PM_08,6,4,5,4,9.5,22,9,0,4,11.222222222222221,2,0,0,2,2,0,3,11,12,0,0.0,10,1,4,4,1,Medium,0.2062780269058296,0,0,1,7,High
P031,Operations Improvement UK Program 031,Operations Improvement,Sales,UK,High,2024-12-04 00:00:00,2025-07-20 00:00:00,2025-08-10 00:00:00,228,249,21,1,0,1134000,Sponsor_01,PM_14,6,4,6,4,3.8333333333333335,7,12,2,1,30.0,1,2,3,4,0,1,1,7,9,0,0.0,2,0,2,1,0,Medium,0.09210526315789473,0,0,1,3,Medium
P032,Operations Improvement Australia Program 032,Operations Improvement,Technology,Australia,Low,2025-03-05 00:00:00,2025-10-18 00:00:00,2025-10-21 00:00:00,227,230,3,1,0,1710000,Sponsor_13,PM_18,6,4,1,0,0.5,3,5,0,1,8.4,1,1,0,1,0,0,2,13,13,0,0.0,3,0,1,1,0,Low,0.013215859030837005,0,0,1,0,Low
P033,Operations Improvement UK Program 033,Operations Improvement,Operations,UK,Medium,2025-06-30 00:00:00,2025-10-04 00:00:00,2025-11-03 00:00:00,96,126,30,1,0,986000,Sponsor_10,PM_19,6,4,5,3,5.0,9,11,2,4,26.90909090909091,1,2,2,5,0,1,0,14,11,3,0.214,86,1,4,3,1,Medium,0.3125,1,1,1,9,High
P034,Product Launch UK Program 034,Product Launch,Operations,UK,Low,2024-03-24 00:00:00,2024-10-20 00:00:00,2024-11-24 00:00:00,210,245,35,1,1,219000,Sponsor_01,PM_18,6,4,5,3,5.833333333333333,10,7,0,0,7.571428571428571,1,2,2,1,0,0,1,9,6,3,0.333,213,1,2,2,0,High,0.16666666666666666,1,1,1,5,Medium
P035,Operations Improvement UK Program 035,Operations Improvement,Sales,UK,High,2024-04-27 00:00:00,2024-12-17 00:00:00,2025-01-10 00:00:00,234,258,24,1,0,626000,Sponsor_12,PM_15,6,4,6,4,4.166666666666667,8,4,0,0,12.75,2,0,0,0,1,1,0,8,10,0,0.0,91,1,1,0,0,Medium,0.10256410256410256,0,1,1,4,Medium
P036,Transformation Australia Program 036,Transformation,Operations,Australia,Medium,2025-02-10 00:00:00,2025-06-30 00:00:00,2025-08-09 00:00:00,140,180,40,1,1,335000,Sponsor_12,PM_19,6,4,6,4,8.0,16,7,3,0,42.42857142857143,2,0,1,1,2,1,0,14,16,0,0.0,76,0,2,2,0,Low,0.2857142857142857,0,0,1,3,Medium
P037,Client Implementation UK Program 037,Client Implementation,Operations,UK,Medium,2025-06-02 00:00:00,2025-11-26 00:00:00,2026-01-12 00:00:00,177,224,47,1,1,205000,Sponsor_14,PM_14,6,4,6,4,9.0,14,12,3,3,38.75,3,2,2,1,1,3,0,11,13,0,0.0,19,0,5,5,1,High,0.2655367231638418,0,0,1,8,High
P038,Client Implementation UK Program 038,Client Implementation,Finance,UK,Medium,2024-10-01 00:00:00,2025-03-22 00:00:00,2025-05-03 00:00:00,172,214,42,1,1,682000,Sponsor_05,PM_03,6,4,5,4,7.333333333333333,17,11,1,1,19.545454545454547,3,1,1,1,1,4,0,11,11,0,0.0,43,1,1,1,0,Medium,0.2441860465116279,0,0,1,3,Medium
P039,Operations Improvement UK Program 039,Operations Improvement,Operations,UK,Low,2024-10-09 00:00:00,2025-05-29 00:00:00,2025-06-15 00:00:00,232,249,17,1,0,200000,Sponsor_04,PM_17,6,4,6,4,3.0,5,5,1,1,20.8,0,2,1,0,0,1,1,5,3,2,0.4,196,0,1,1,0,Medium,0.07327586206896551,1,1,1,5,Medium
P040,Operations Improvement Europe Program 040,Operations Improvement,Operations,Europe,High,2025-01-12 00:00:00,2025-08-11 00:00:00,2025-08-20 00:00:00,211,220,9,1,0,1313000,Sponsor_06,PM_17,6,4,4,2,1.5,4,5,1,1,27.6,0,0,0,1,2,1,1,10,10,0,0.0,34,0,1,1,0,Medium,0.04265402843601896,0,0,1,2,Low
P041,Transformation Europe Program 041,Transformation,Operations,Europe,High,2024-07-08 00:00:00,2024-11-24 00:00:00,2024-12-20 00:00:00,139,165,26,1,0,623000,Sponsor_05,PM_16,6,4,5,4,4.666666666666667,9,7,3,2,44.857142857142854,1,2,2,1,0,1,0,15,12,3,0.2,69,1,0,0,0,Medium,0.18705035971223022,1,0,1,6,High
P042,IT Delivery Europe Program 042,IT Delivery,Operations,Europe,Low,2024-05-09 00:00:00,2024-12-10 00:00:00,2025-01-09 00:00:00,215,245,30,1,0,390000,Sponsor_10,PM_01,6,4,5,3,5.0,10,9,2,2,41.333333333333336,1,0,3,2,1,1,1,8,5,3,0.375,84,0,2,1,0,Low,0.13953488372093023,1,1,1,6,High
P043,Transformation Europe Program 043,Transformation,Sales,Europe,Medium,2024-02-24 00:00:00,2024-07-01 00:00:00,2024-07-25 00:00:00,128,152,24,1,0,485000,Sponsor_05,PM_19,6,4,5,3,4.0,10,7,3,1,39.857142857142854,0,2,0,2,1,0,2,5,6,0,0.0,76,0,3,2,0,Medium,0.1875,0,0,1,3,Medium
P044,Product Launch UK Program 044,Product Launch,Operations,UK,Medium,2024-03-02 00:00:00,2024-06-25 00:00:00,2024-07-21 00:00:00,115,141,26,1,0,1742000,Sponsor_11,PM_07,6,4,6,4,5.166666666666667,10,8,3,0,31.875,2,2,2,2,0,0,0,7,8,0,0.0,9,1,0,0,0,Low,0.22608695652173913,0,0,1,4,Medium
P045,IT Delivery UK Program 045,IT Delivery,Technology,UK,Medium,2024-10-16 00:00:00,2025-05-10 00:00:00,2025-05-29 00:00:00,206,225,19,1,0,325000,Sponsor_15,PM_08,6,4,5,4,3.6666666666666665,6,9,4,3,49.22222222222222,0,0,3,2,2,0,2,8,6,2,0.25,128,1,3,1,0,Medium,0.09223300970873786,1,1,1,8,High
P046,Client Implementation UK Program 046,Client Implementation,Sales,UK,High,2024-10-22 00:00:00,2025-05-12 00:00:00,2025-05-12 00:00:00,202,202,0,0,0,434000,Sponsor_12,PM_15,6,4,0,0,0.0,0,8,1,1,21.75,2,3,3,0,0,0,0,8,8,0,0.0,56,1,0,0,0,Medium,0.0,0,0,1,2,Low
P047,Client Implementation UK Program 047,Client Implementation,Technology,UK,High,2024-01-22 00:00:00,2024-06-28 00:00:00,2024-08-06 00:00:00,158,197,39,1,1,1360000,Sponsor_13,PM_02,6,4,5,3,6.5,16,8,3,3,39.0,1,0,2,1,0,2,2,6,4,2,0.333,169,0,0,0,0,High,0.2468354430379747,1,1,1,6,High
P048,Operations Improvement UK Program 048,Operations Improvement,Operations,UK,High,2025-02-25 00:00:00,2025-09-29 00:00:00,2025-10-24 00:00:00,216,241,25,1,0,770000,Sponsor_14,PM_13,6,4,5,3,4.166666666666667,8,6,2,1,38.5,0,1,3,0,0,1,1,12,9,3,0.25,217,0,1,1,0,Low,0.11574074074074074,1,1,1,4,Medium
P049,Client Implementation Europe Program 049,Client Implementation,Sales,Europe,Low,2024-02-25 00:00:00,2024-07-12 00:00:00,2024-08-09 00:00:00,138,166,28,1,0,1241000,Sponsor_10,PM_12,6,4,5,4,6.166666666666667,18,6,0,1,12.166666666666666,3,0,0,1,1,1,0,11,12,0,0.0,16,0,0,0,0,Low,0.2028985507246377,0,0,1,3,Medium
P050,Transformation Europe Program 050,Transformation,Technology,Europe,Low,2024-11-14 00:00:00,2025-07-03 00:00:00,2025-08-20 00:00:00,231,279,48,1,1,208000,Sponsor_07,PM_18,6,4,6,4,8.833333333333334,16,10,2,3,29.8,0,0,2,2,2,2,2,5,2,3,0.6,185,0,1,1,0,Low,0.2077922077922078,1,1,1,6,High
P051,Product Launch UK Program 051,Product Launch,Operations,UK,Medium,2025-05-09 00:00:00,2025-12-05 00:00:00,2025-12-27 00:00:00,210,232,22,1,0,679000,Sponsor_09,PM_15,6,4,5,4,4.333333333333333,8,9,2,2,38.888888888888886,1,3,2,1,1,0,1,6,4,2,0.333,37,1,0,0,0,Medium,0.10476190476190476,1,0,1,6,High
P052,Operations Improvement Australia Program 052,Operations Improvement,Sales,Australia,Medium,2025-05-16 00:00:00,2025-09-21 00:00:00,2025-11-28 00:00:00,128,196,68,1,1,1094000,Sponsor_08,PM_18,6,4,5,4,15.5,50,12,1,3,22.083333333333332,1,1,2,6,1,1,0,9,7,2,0.222,198,1,4,2,1,High,0.53125,1,1,1,8,High
P053,Operations Improvement Europe Program 053,Operations Improvement,Technology,Europe,High,2025-01-25 00:00:00,2025-08-01 00:00:00,2025-09-03 00:00:00,188,221,33,1,1,1539000,Sponsor_08,PM_05,6,4,6,4,6.333333333333333,10,7,1,3,31.142857142857142,1,1,0,4,0,0,1,4,4,0,0.0,12,0,4,4,1,Low,0.17553191489361702,0,0,1,6,High
P054,Product Launch Europe Program 054,Product Launch,Customer Experience,Europe,High,2024-09-28 00:00:00,2025-03-23 00:00:00,2025-03-30 00:00:00,176,183,7,1,0,1456000,Sponsor_11,PM_13,6,4,3,2,1.1666666666666667,3,6,3,1,25.0,1,1,0,1,0,2,1,5,5,0,0.0,40,0,1,1,0,High,0.03977272727272727,0,0,1,2,Low
P055,Transformation Australia Program 055,Transformation,Sales,Australia,Medium,2024-08-20 00:00:00,2024-12-11 00:00:00,2025-01-06 00:00:00,113,139,26,1,0,1068000,Sponsor_13,PM_04,6,4,6,4,5.166666666666667,10,8,0,3,14.25,0,1,0,2,3,0,2,14,13,1,0.071,27,1,2,1,0,Low,0.23008849557522124,0,0,1,4,Medium
P056,Transformation Europe Program 056,Transformation,Finance,Europe,Medium,2024-06-23 00:00:00,2024-11-04 00:00:00,2024-11-24 00:00:00,134,154,20,1,0,341000,Sponsor_14,PM_20,6,4,6,4,4.0,8,8,0,3,15.125,2,0,0,1,1,1,3,10,10,0,0.0,81,0,4,3,0,Low,0.14925373134328357,0,1,1,6,High
P057,IT Delivery UK Program 057,IT Delivery,Customer Experience,UK,Medium,2025-07-13 00:00:00,2025-11-20 00:00:00,2025-12-15 00:00:00,130,155,25,1,0,331000,Sponsor_06,PM_15,6,4,5,3,4.166666666666667,9,5,0,1,14.0,0,0,0,3,0,0,2,13,13,0,0.0,108,0,1,1,0,Medium,0.19230769230769232,0,1,1,3,Medium
P058,Operations Improvement Europe Program 058,Operations Improvement,Operations,Europe,Medium,2024-01-23 00:00:00,2024-08-01 00:00:00,2024-08-01 00:00:00,191,191,0,0,0,742000,Sponsor_10,PM_01,6,4,0,0,0.0,0,4,0,2,15.0,0,2,0,0,0,0,2,14,16,0,0.0,63,0,1,1,0,High,0.0,0,0,1,3,Medium
P059,Operations Improvement UK Program 059,Operations Improvement,Technology,UK,High,2024-09-13 00:00:00,2025-01-16 00:00:00,2025-01-28 00:00:00,125,137,12,1,0,1466000,Sponsor_15,PM_04,6,4,6,4,2.5,6,3,0,0,9.0,0,0,1,0,0,2,0,14,15,0,0.0,46,0,0,0,0,Medium,0.096,0,0,1,2,Low
P060,Operations Improvement Australia Program 060,Operations Improvement,Operations,Australia,Low,2025-01-09 00:00:00,2025-08-22 00:00:00,2025-09-17 00:00:00,225,251,26,1,0,1207000,Sponsor_14,PM_09,6,4,6,4,4.833333333333333,9,3,0,1,16.0,0,0,1,0,1,1,0,6,5,1,0.167,211,0,0,0,0,Medium,0.11555555555555555,1,1,1,4,Medium
P061,IT Delivery UK Program 061,IT Delivery,Sales,UK,Medium,2025-02-10 00:00:00,2025-09-30 00:00:00,2025-11-16 00:00:00,232,279,47,1,1,929000,Sponsor_13,PM_03,6,4,5,4,8.5,14,11,1,6,24.363636363636363,1,2,1,3,1,1,2,10,12,0,0.0,33,0,4,3,1,High,0.2025862068965517,0,0,1,7,High
P062,Operations Improvement Europe Program 062,Operations Improvement,Sales,Europe,Low,2024-08-14 00:00:00,2024-11-28 00:00:00,2024-12-22 00:00:00,106,130,24,1,0,1481000,Sponsor_15,PM_15,6,4,4,2,4.0,8,5,0,2,17.2,3,0,1,0,1,0,0,15,12,3,0.2,97,0,1,0,0,Low,0.22641509433962265,1,1,1,7,High
P063,Transformation Europe Program 063,Transformation,Customer Experience,Europe,High,2025-07-07 00:00:00,2026-01-20 00:00:00,2026-01-20 00:00:00,197,197,0,0,0,1382000,Sponsor_15,PM_05,6,4,0,0,0.0,0,4,1,1,27.25,2,0,0,0,1,1,0,10,9,1,0.1,28,0,0,0,0,Medium,0.0,0,0,1,1,Low
P064,Transformation Australia Program 064,Transformation,Technology,Australia,Medium,2025-01-02 00:00:00,2025-04-17 00:00:00,2025-05-05 00:00:00,105,123,18,1,0,995000,Sponsor_04,PM_09,6,4,5,4,4.0,12,10,3,3,36.9,1,1,3,4,1,0,0,5,3,2,0.4,184,0,3,3,0,Low,0.17142857142857143,1,1,1,6,High
P065,Transformation Europe Program 065,Transformation,Operations,Europe,Low,2024-07-29 00:00:00,2024-11-13 00:00:00,2024-12-23 00:00:00,107,147,40,1,1,1747000,Sponsor_04,PM_18,6,4,5,4,7.0,12,9,3,2,37.0,1,2,4,2,0,0,0,13,11,2,0.154,172,1,3,3,0,Low,0.37383177570093457,1,1,1,7,High
P066,Client Implementation UK Program 066,Client Implementation,Sales,UK,Low,2025-01-01 00:00:00,2025-05-31 00:00:00,2025-07-15 00:00:00,150,195,45,1,1,1385000,Sponsor_01,PM_11,6,4,6,4,7.833333333333333,13,11,2,6,32.27272727272727,2,3,2,0,2,2,0,6,3,3,0.5,210,1,1,1,0,Medium,0.3,1,1,1,8,High
P067,Client Implementation Europe Program 067,Client Implementation,Finance,Europe,High,2024-02-14 00:00:00,2024-09-24 00:00:00,2024-10-26 00:00:00,223,255,32,1,1,797000,Sponsor_11,PM_15,6,4,6,4,6.0,13,10,2,5,41.8,1,1,1,2,3,1,1,4,6,0,0.0,13,0,3,3,0,Medium,0.14349775784753363,0,0,1,4,Medium
P068,IT Delivery Europe Program 068,IT Delivery,Sales,Europe,High,2025-07-15 00:00:00,2026-01-04 00:00:00,2026-02-05 00:00:00,173,205,32,1,1,960000,Sponsor_09,PM_20,6,4,6,4,6.833333333333333,18,7,3,2,50.142857142857146,0,0,1,4,0,0,2,8,10,0,0.0,14,0,2,0,0,Low,0.18497109826589594,0,0,1,4,Medium
P069,Product Launch UK Program 069,Product Launch,Finance,UK,Low,2024-08-21 00:00:00,2025-03-04 00:00:00,2025-04-06 00:00:00,195,228,33,1,1,874000,Sponsor_07,PM_15,6,4,4,3,5.5,13,9,3,4,59.0,2,0,1,0,0,4,2,10,9,1,0.1,115,0,1,0,0,Low,0.16923076923076924,0,1,1,6,High
P070,Client Implementation Europe Program 070,Client Implementation,Sales,Europe,High,2024-05-13 00:00:00,2024-12-31 00:00:00,2025-01-21 00:00:00,232,253,21,1,0,302000,Sponsor_09,PM_19,6,4,5,4,3.6666666666666665,6,7,0,3,11.714285714285714,3,1,0,1,1,1,0,12,14,0,0.0,120,0,1,1,0,Medium,0.09051724137931035,0,1,1,6,High
P071,Product Launch Europe Program 071,Product Launch,Technology,Europe,Medium,2024-08-05 00:00:00,2024-12-12 00:00:00,2025-01-26 00:00:00,129,174,45,1,1,1524000,Sponsor_04,PM_16,6,4,6,4,9.0,18,8,0,2,15.875,0,0,0,0,2,4,2,5,4,1,0.2,166,1,0,0,0,Low,0.3488372093023256,1,1,0,6,High
